model_key,problem_idx,sample_idx,mean_logprob,total_logprob,response_length_tokens,response_length_chars,sqrt_length_normalized_logprob,length_penalized_logprob,boxed_answer_present,extracted_answer_present,answer_format_valid,final_answer_length,contains_therefore,equation_count,latex_marker_count,correct
3B,0,0,-0.2217363287798043,-31.708295015512014,143,307,-2.6515808357669584,-1.6517363287798041,1,1,1,28,1,1,9,1
3B,0,1,-0.3998432236252972,-49.98040295316215,125,288,-4.470383141844072,-1.6498432236252971,1,1,1,1,1,1,7,0
3B,0,2,-0.24574372747914905,-86.25604834518131,351,840,-4.604007258678742,-3.755743727479149,1,1,1,29,1,5,12,0
3B,0,3,-0.2563059734044803,-57.41253804260359,224,626,-3.8360365546526367,-2.4963059734044806,1,1,1,28,1,2,10,1
3B,0,4,-0.597120935125086,-63.89194005838421,107,265,-6.176666981035833,-1.667120935125086,1,1,1,19,0,1,5,1
3B,0,5,-0.186241197037124,-71.70286085929274,385,1278,-3.6543161654981398,-4.036241197037124,1,1,1,29,0,0,8,1
3B,0,6,-0.1289762779983591,-62.55349482920416,485,1687,-2.8404078824810277,-4.97897627799836,1,1,1,29,1,0,11,1
3B,0,7,-0.39651587282036455,-54.32267457638994,137,355,-4.641099301199435,-1.7665158728203647,1,1,1,28,0,2,6,1
3B,0,8,-0.2839313691405823,-33.503901558588716,118,290,-3.084284137540085,-1.4639313691405822,1,1,1,28,0,2,6,1
3B,0,9,-0.24530395277696673,-38.02211268042984,155,367,-3.0540095830630047,-1.7953039527769667,1,1,1,28,1,2,7,1
3B,0,10,-0.29165165632325424,-48.705826605983454,167,435,-3.768970018748928,-1.9616516563232542,1,1,1,30,1,2,7,1
3B,0,11,-0.30179651242239824,-19.616773307455887,65,130,-2.43316127068696,-0.9517965124223983,0,0,0,0,0,1,4,0
3B,0,12,-0.32344804897532126,-74.06960321534856,229,576,-4.894657153303045,-2.613448048975321,1,1,1,28,1,2,10,1
3B,0,13,-0.30823308875141747,-67.81127952531185,220,543,-4.571835532942171,-2.5082330887514175,1,1,1,28,1,2,9,1
3B,0,14,-0.2878608789875038,-34.83116635748796,121,301,-3.1664696688625416,-1.4978608789875039,1,1,1,28,1,1,6,1
3B,0,15,-0.19867910098731037,-23.642813017489935,119,311,-2.1673331158652056,-1.3886791009873103,1,1,1,28,1,1,5,1
3B,0,16,-0.11711686694482955,-40.522435962911025,346,1118,-2.178499653648957,-3.5771168669448294,1,1,1,28,0,0,9,1
3B,0,17,-0.1775132766490101,-19.3489471547421,109,209,-1.853293017616699,-1.2675132766490103,1,1,1,30,0,1,7,1
3B,0,18,-0.22828545115351478,-22.600259664197964,99,201,-2.2714115597196414,-1.2182854511535148,1,1,1,1,0,1,5,0
3B,0,19,-0.4209624924495075,-90.0859733841946,214,598,-6.15815036277538,-2.560962492449508,1,1,1,28,1,1,10,1
3B,0,20,-0.298288591308984,-53.095369252999156,178,484,-3.9796661794059385,-2.078288591308984,1,1,1,28,1,3,7,1
3B,0,21,-0.2160221248698424,-23.978455860552508,111,251,-2.2759343105841783,-1.3260221248698425,1,1,1,28,1,1,6,1
3B,0,22,-0.30908004130151834,-40.79856545180042,132,247,-3.551059320102267,-1.6290800413015183,1,1,1,29,0,1,7,0
3B,0,23,-0.2153588638570339,-20.028374338704154,93,220,-2.0768456713214634,-1.145358863857034,1,1,1,28,1,1,5,1
3B,0,24,-0.3120370037038072,-29.019441344454073,93,224,-3.0091758882261823,-1.2420370037038073,1,1,1,28,1,1,5,1
3B,0,25,-0.19975221193201892,-32.359858332987066,162,408,-2.5424305850545736,-1.819752211932019,0,0,0,0,1,2,8,0
3B,0,26,-0.18957644157885145,-62.74980216259983,331,1038,-3.4490410556794755,-3.4995764415788515,1,1,1,17,0,0,10,1
3B,0,27,-0.22171716340389902,-23.502019320813297,106,268,-2.2827179103153226,-1.281717163403899,1,1,1,28,0,1,5,1
3B,0,28,-0.27982394290488477,-31.340281605347094,112,251,-2.961378255231448,-1.3998239429048849,0,0,0,0,1,1,7,0
3B,0,29,-0.32922933021196127,-73.74736996747933,224,617,-4.927453421320888,-2.5692293302119613,1,1,1,16,1,2,9,0
3B,0,30,-0.2519366611420451,-90.94913467227829,361,1227,-4.786796561698857,-3.861936661142045,1,1,1,29,0,0,10,1
3B,0,31,-0.2887221889610407,-38.97749550974049,135,324,-3.3546486885799847,-1.6387221889610408,1,1,1,28,0,1,9,1
3B,0,32,-0.2803447892110348,-30.55758202400279,109,271,-2.9268855275391226,-1.370344789211035,1,1,1,17,1,1,7,1
3B,0,33,-0.36321854375964135,-67.92186768305294,187,488,-4.966938883182833,-2.2332185437596417,1,1,1,29,1,3,8,1
3B,0,34,-0.2632773219851264,-44.493867415486356,169,397,-3.422605185806643,-1.9532773219851263,1,1,1,17,0,2,9,1
3B,0,35,-0.2826558337909625,-29.961518381842026,106,269,-2.9101199219040454,-1.3426558337909626,1,1,1,28,0,1,5,1
3B,0,36,-0.08948847939009136,-35.07948392091581,392,1273,-1.7717814972145736,-4.009488479390091,1,1,1,29,0,0,11,1
3B,0,37,-0.21740009686161768,-36.30581617589015,167,389,-2.809428403301747,-1.8874000968616176,1,1,1,28,1,2,8,1
3B,0,38,-0.17228744972856994,-38.24781383974253,222,548,-2.5670251857241957,-2.39228744972857,1,1,1,29,1,3,8,0
3B,0,39,-0.19785486767230212,-16.02624428145647,81,173,-1.780693809050719,-1.0078548676723023,1,1,1,30,0,1,5,1
3B,0,40,-0.09523175824160929,-8.380394725261617,88,157,-0.8933530793842779,-0.9752317582416092,0,0,0,0,0,1,6,0
3B,0,41,-0.27781244873714045,-49.450615875211,178,407,-3.7064803638832458,-2.0578124487371405,1,1,1,28,1,3,10,1
3B,0,42,-0.5837984127844954,-46.120074609975134,79,164,-5.188913793348854,-1.3737984127844953,0,0,0,0,0,1,4,0
3B,0,43,-0.1518514899350802,-14.72959452370278,97,244,-1.4955637313614774,-1.1218514899350802,0,0,0,0,1,1,6,0
3B,0,44,-0.26971680876354476,-46.66100791609325,173,495,-3.5475707390859976,-1.9997168087635449,1,1,1,19,1,1,8,1
3B,0,45,-0.1669998026385445,-81.16190408233263,486,1787,-3.681578732489369,-5.026999802638545,1,1,1,18,0,0,10,1
3B,0,46,-0.25028325495469567,-44.30013612698113,177,359,-3.329802135982999,-2.0202832549546956,1,1,1,13,0,1,9,0
3B,0,47,-0.18771717184808023,-23.27692930916195,124,301,-2.090329959413961,-1.4277171718480801,1,1,1,17,0,1,8,1
3B,1,0,-0.12040230564437149,-124.134777119347,1031,2031,-3.8660203537771953,-10.430402305644371,1,1,1,72,1,2,73,0
3B,1,1,-0.14097466279212054,-197.92842656013724,1404,2641,-5.282318921770092,-14.18097466279212,1,1,1,5,0,4,98,1
3B,1,2,-0.12154769719844831,-248.92968386242214,2048,4339,-5.500620859304443,-20.60154769719845,1,1,1,3,1,14,142,0
3B,1,3,-0.10028453687271036,-205.3827315153108,2048,3789,-4.538360068534135,-20.58028453687271,0,0,0,0,1,6,148,0
3B,1,4,-0.08578505548155503,-175.6877936262247,2048,3850,-3.8821884451501933,-20.565785055481555,0,0,0,0,1,9,162,0
3B,1,5,-0.11235708345231364,-230.10730691033834,2048,4113,-5.084701159902323,-20.592357083452313,0,0,0,0,0,8,116,0
3B,1,6,-0.07317754041764903,-149.8676027753452,2048,3687,-3.311637443831826,-20.55317754041765,0,0,0,0,0,10,143,0
3B,1,7,-0.11341347859992468,-81.7711180705457,721,1298,-3.0453155746795355,-7.3234134785999245,1,1,1,11,1,3,57,0
3B,1,8,-0.1435587039473968,-240.89150522373183,1678,3360,-5.880652368730574,-16.923558703947396,1,1,1,42,0,8,114,0
3B,1,9,-0.0948031013529405,-95.65632926511697,1009,1812,-3.0113977947742363,-10.18480310135294,1,1,1,2,0,2,82,0
3B,1,10,-0.08047723086370728,-164.81736880887252,2048,3681,-3.641983723189935,-20.560477230863707,0,0,0,0,1,5,173,0
3B,1,11,-0.08636899449696703,-176.88370072978847,2048,3964,-3.908614508356415,-20.56636899449697,0,0,0,0,0,3,166,0
3B,1,12,-0.09852791299619035,-201.78516581619783,2048,3949,-4.458864346608919,-20.57852791299619,0,0,0,0,0,6,132,0
3B,1,13,-0.05599611495322811,-114.68004342421116,2048,3609,-2.5340948866258577,-20.535996114953228,0,0,0,0,0,1,182,0
3B,1,14,-0.0756644609739827,-154.96081607471658,2048,3575,-3.424182620769795,-20.555664460973983,0,0,0,0,0,3,144,0
3B,1,15,-0.10238592621250006,-15.86981856293751,155,289,-1.2746945015927085,-1.6523859262125,1,1,1,2,0,1,11,0
3B,1,16,-0.17166742494943277,-351.5748862964383,2048,4084,-7.768780818596904,-20.651667424949434,0,0,0,0,0,14,149,0
3B,1,17,-0.08985007209839285,-184.01294765750856,2048,3706,-4.066150097335923,-20.569850072098394,0,0,0,0,1,7,137,0
